city,longtitude,latitude
Yogyakarta,110.36722565020224,-7.9778383999999996
Batam,104.0383696,1.1030815
Bengkulu,102.5359834,-3.5186763
Tanjung Pinang,104.446094,0.9236915
Jakarta,106.827183,-6.1753942
East Java,112.4914199,-7.6977397
Lampung,105.0272986,-4.8555039
Palembang,104.756857,-2.9888297
Surabaya,112.7378266,-7.2459717
Kalimantan,113.46813609883367,-0.6487842500000001
Bandung,107.6049539,-6.9344694
Medan,98.6738261,3.5896654
Lombok,116.35808185429117,-8.58356375
Bali,2.3200410217200766,48.8588897
Tanjung Balai,99.8020903,2.9703419
Pekan Baru,100.4884536,5.1237075
Banjarmasin,114.5925828,-3.3187496
Java,109.6139109880134,-7.327969400000001
Makassar,119.4124282,-5.1342962
Manado,124.8408708,1.4900578
Solo,110.828448,-7.5692489
Padang,100.3632561,-0.9247587
Semarang,110.4229104,-6.9903988
Denpasar,115.2191175,-8.6524973
Jambi/Telanaipura,103.582567,-1.6065101
Pontianak,109.3447488,-0.0226903
Balikpapan,116.8593379,-1.2398711
Papua/Irian Jaya,133.6095046,-2.0818312
Bogor,106.7972421,-6.5962986
Riau,101.5475811,0.5004112
Malang,112.6340291,-7.9771206
Sumatra,101.62410241439257,-0.14329415
West Java,107.6404716,-6.8891904
Magelang,110.2145132553504,-7.51361445
Indonesia,117.8902853,-2.4833826
Pangkal Pinang,106.1134604,-2.1206733
Lingga,104.41416137114891,-0.5094966000000001
Tangerang,106.6382161,-6.1761924
Java Timur,3.7022564,51.0314945
Bintan,104.56981887122059,1.01965765
Sulawesi,120.29488558399481,-1.9758004
Maluku,126.65622927105376,-3.4591431999999998
Palangkaraya,113.9164372,-2.2072919
Cirebon/Tjirebon,108.5218354,-6.7679942
Sukabumi,106.73466083246038,-7.0764508500000005
Sumbawa,117.27160682483327,-8.5949025
Surakarta,110.828448,-7.5692489
Bekasi,106.9945444,-6.2349858
Kupang,123.6017755,-10.1632209
Samarinda,117.1393089,-0.5017804
Aceh,97.0253024,4.3685491
Jawa Barat,107.6404716,-6.8891904
Karimun,103.42874447233233,0.76538705
Selat Panjang,109.3701621,-0.0154652
Banten,106.1375586,-6.4453801
Jogjakarta,110.364917,-7.8011945
Mataram/Lombok,116.10222973992147,-8.5618359
Dumai,101.4470369,1.6631967
Temburong,115.16483847312665,4.62361385
