case,Year,R.mth,date,Country_residence,City_residence,Purpose_grp,Purpose,Air_Terminal,Sea_Terminal,Land_Terminal,langint,1st_visit,length_stay,travel_type,f1_gender,f3_occupation,f4_industry,f5_designation,f5_designation.oth,totacc_$,totfnb_$,tottran_$,totbiz_$,totedu_$,totmedi_$,tototh_$,totshopping_$,MainAccomm,MainHotel,travel_companion.1,travel_companion.2,travel_companion.3,travel_companion.4,travel_companion.5
18,2015,January,1-Jan-15,Indonesia,Yogyakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,4 days,Non-Packaged,Male,"Businessman (small company, <50 people)",Marketing & Media,Director, ,153.23,76.61,11.49,0,0,0,0,854.85,Hotel,V Hotel Lavender,Spouse,Children aged 8-12 yrs,,,
41,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,2 days,Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Electronics & Precision Engineering,Others (specify),Engineer,155.74,24.85,27.2,0,0,0,0,171.52,Hotel,Madras Hotel,Spouse,Children aged 0-7 yrs,Friends,,
43,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,3 days,Non-Packaged,Female,Homemaker (Full time),,, ,148.15,139.77,27.95,0,0,0,0,104.85,Hotel,Hotel 81 - Geylang,Spouse,Children aged 8-12 yrs,,,
44,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Others,,HCC,,English,No,1 day,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Transportation and Logistics,Others (specify),Accountant,0,143.76,14.38,0,0,0,0,220.85,Accommodation not required - Others,,Partner/ Boyfriend/ Girlfriend,Parents/ Parents-in-law,Siblings,,
45,2015,January,1-Jan-15,Indonesia,Batam,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,HCC,,English,No,1 day,Packaged,Male,Student,,, ,153.23,45.97,38.31,0,0,0,0,104.85,Hotel,Hotel 81 - Bencoolen,Parents/ Parents-in-law,Siblings,,,
46,2015,January,1-Jan-15,Indonesia,Bengkulu,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,Student,,, ,0,94.34,31.45,0,0,0,0,164.85,Accommodation not required - Others,,Parents/ Parents-in-law,Other relatives,Siblings,,
47,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Fincial and Insurance Activities,Junior Executive, ,65.41,50.32,42.77,0,0,0,0,119.85,Hostel (Rental by bed),,Friends,,,,
49,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Female,"Businessman (small company, <50 people)",Wholesale and Retail Trade,Others (specify),Owner,0,25.16,25.16,0,0,0,0,114.85,Stayed with relatives/ friends,,Friends,,,,
50,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,3 days,Non-Packaged,Female,Homemaker (Full time),,, ,86.33,139.77,55.91,0,0,0,0,104.85,Hotel,Hotel 81 - Geylang,Spouse,Children aged 8-12 yrs,,,
51,2015,January,1-Jan-15,Indonesia,Tanjung Pinang,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Fincial and Insurance Activities,Junior Executive, ,50.32,62.9,25.16,0,0,0,0,114.85,Hostel (Rental by bed),,Friends,,,,
52,2015,January,1-Jan-15,Indonesia,Tanjung Pinang,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Electronics & Precision Engineering,Junior Executive, ,150.95,251.58,83.86,0,0,0,0,271.52,Hotel,Hotel Clover (Not Specified),Parents/ Parents-in-law,,,,
53,2015,January,1-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,3 days,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",InfoComm Technology,Others (specify),Programmer,189.76,102.15,51.08,0,0,0,0,244.85,Hotel,Bay Hotel Singapore,Alone,,,,
54,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Others,,HCC,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Construction,Junior Executive, ,0,17.61,30.19,0,0,0,0,124.85,Stayed with relatives/ friends,,Siblings,,,,
55,2015,January,1-Jan-15,Indonesia,East Java,Leisure,Holiday/ Rest & Relax,,HCC,,English,Yes,1 day,Packaged,Female,Student,,, ,77.87,33.87,13.6,0,0,0,0,148.85,Hotel,Fragrance Hotel - Classic,Others,,,,
56,2015,January,1-Jan-15,Indonesia,Lampung,Leisure,Visiting friends/relatives,,HCC,,English,No,5 days,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,0,100.63,0,0,0,0,0,171.52,Stayed with relatives/ friends,,Children aged 8-12 yrs,Siblings,,,
57,2015,January,1-Jan-15,Indonesia,Batam,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,HCC,,Chinese,No,Under 1 day,Non-Packaged,Male,"Businessman (medium size company, 50 -250 people)",Manufacturing and Chemicals,Director, ,0,9.19,33.71,0,0,0,0,104.85,Accommodation not required - Day Tripper,,Friends,,,,
58,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,3 days,Packaged,Male,Student,,, ,233.61,37.27,40.81,0,0,0,0,124.85,Hotel,Hotel 81 - Balestier,Parents/ Parents-in-law,Siblings,,,
59,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Environment and Energy,Others (specify),Accountant,75.47,17.61,12.58,0,0,0,0,134.85,Hostel (Rental by bed),,Friends,,,,
60,2015,January,1-Jan-15,Indonesia,Palembang,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,HCC,,English,No,Under 1 day,Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,0,6.21,6.8,0,0,0,0,146.85,Accommodation not required - Day Tripper,,Others,,,,
61,2015,January,1-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,5 days,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Defence and Security,Clerk/ Secretary/ Persol Assistant, ,275.81,88.87,12.26,0,0,0,0,"1,104.85",Hotel,Ibis Singapore on Bencoolen,Spouse,,,,
62,2015,January,1-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,4 days,Non-Packaged,Male,Student,,, ,129.97,0,0,0,0,0,0,104.85,Hotel,Ibis Singapore on Bencoolen,Parents/ Parents-in-law,Siblings,,,
63,2015,January,1-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,5 days,Non-Packaged,Female,"Businessman (small company, <50 people)",Healthcare and Biomedical Sciences,Others (specify),Owner,0,20.43,4.09,0,0,0,0,204.85,Stayed with relatives/ friends,,Spouse,Children aged 8-12 yrs,,,
118,2015,January,2-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,3 days,Non-Packaged,Male,Others (specify),"Design related activities (e.g. architecture, interior, product, graphic design etc)",Others (specify),Designer,"1,094.53",102.15,12.26,0,0,0,0,249.85,Hotel,Hotel Michael,Alone,,,,
153,2015,January,2-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,4 days,Non-Packaged,Female,Homemaker (Full time),,, ,153.23,0,19.15,0,0,0,0,604.85,Hotel,Orchid Hotel,Spouse,Children aged 20-39 yrs,,,
154,2015,January,2-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,8-10 days,Non-Packaged,Female,Homemaker (Full time),,, ,255.38,61.29,15.32,0,0,0,0,404.85,Hotel,Holiday Inn Singapore Orchard City Centre,Spouse,Children aged 8-12 yrs,,,
182,2015,January,3-Jan-15,Indonesia,Yogyakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,3 days,Non-Packaged,Male,Student,,, ,153.23,40.86,45.97,0,0,0,0,154.85,Hotel,Fragrance Hotel - Selegie,Siblings,,,,
184,2015,January,3-Jan-15,Indonesia,Kalimantan,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,3 days,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)","Hospitality, Travel & Tourism",Others (specify),Accountant,78.87,122.58,20.43,0,0,0,0,404.85,Hotel,Fragrance Hotel - Bugis,Siblings,Friends,,,
203,2015,January,3-Jan-15,Indonesia,Bandung,Leisure,To take or join a regional or international cruise,,MBCCS,,English,No,Under 1 day,Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)","Design related activities (e.g. architecture, interior, product, graphic design etc)",Others (specify),Fashion designer,0,0,27.58,0,0,0,0,104.85,Accommodation not required - On-board Cruise,,Friends,,,,
