Error,Corrected
Biz man,Business Man
bizman,Business Man
Online biz owner,Business Man
Alysis,Analysis
Alyst,Analyst
hairdressor,Hairdresser
Help parents to mage the shop.,Help parents to manage the shop
hotel singer,Hotel Singer
Housekeeping,House keeping
Jourlist,Journalist
Journislist,Journalist
Salesgirl,Sales girl
Self- employed,Self employed
Self-employed,Self employed
self-employed,Self employed
self-emplloyed,Self employed
Self-employes,Self employed
Storekeeper,Store Keeper
Self Employ,Self employed
Seamen,Seaman
Sale girl,Sales girl
Fince Officer,Finance Officer
Enterpreneur,Entrepreneur
Entrepreuner,Entrepreneur
Engr,Engineer
Eingineer,Engineer
Deliveryman,Delivery man
Cameraman,Camera man
Administor,Administrator
Events Organisor,Event Organisor
